150368,PHETA2,Q6ICB4
11051,NUDT21,O43809
284086,NEK8,Q86SG6
4628,MYH10,P35580
25805,BAMBI,Q13145
64770,CCDC14,Q49A88
221294,NT5DC1,Q5TFE4
5980,REV3L,O60673
5695,PSMB7,Q99436
10847,SRCAP,Q6ZRS2
54838,WBP1L,Q9NX94
10565,ARFGEF1,Q9Y6D6
10926,DBF4,Q9UBU7
594,BCKDHB,P21953
25911,DPCD,Q9BVM2
51202,DDX47,Q9H0S4
23167,EFR3A,Q14156
7298,TYMS,P04818
83737,ITCH,Q96J02
55924,INKA2,Q9NTI7
114876,OSBPL1A,Q9BXW6
5706,PSMC6,P62333
9404,LPXN,O60711
5686,PSMA5,P28066
2913,GRM3,Q14832
79902,NUP85,Q9BW27
4733,DRG1,Q9Y295
9119,KRT75,O95678
11198,SUPT16H,Q9Y5B9
3600,IL15,P40933
4534,MTM1,Q13496
5525,PPP2R5A,Q15172
10621,POLR3F,Q9H1D9
8382,NME5,P56597
1874,E2F4,Q16254
147372,CCBE1,Q6UXH8
84318,CCDC77,Q9BR77
85329,LGALS12,Q96DT0
64776,C11orf1,Q9H5F2
64897,CUSTOS,Q96C57
151556,GPR155,Q7Z3F1
55177,RMDN3,Q96TC7
10463,SLC30A9,Q6PML9
6016,RIT1,Q92963
54805,CNNM2,Q9H8M5
9831,ZNF623,O75123
5412,UBL3,O95164
104,ADARB1,P78563
6159,RPL29,P47914
9209,LRRFIP2,Q9Y608
1654,DDX3X,O00571
54870,QRICH1,Q2TAL8
51207,DUSP13,Q6B8I1
51207,DUSP13,Q9UII6
3964,LGALS8,O00214
79081,LBHD1,Q9BQE6
79886,CAAP1,Q9H8G2
3915,LAMC1,P11047
6612,SUMO3,P55854
10769,PLK2,Q9NYY3
79022,TMEM106C,Q9BVX2
2339,FNTA,P49354
26061,HACL1,Q9UJ83
10613,ERLIN1,O75477
84929,FIBCD1,Q8N539
27069,GHITM,Q9H3K2
4670,HNRNPM,P52272
8732,RNGTT,O60942
57534,MIB1,Q86YT6
8554,PIAS1,O75925
10914,PAPOLA,P51003
10473,HMGN4,O00479
10336,PCGF3,Q3KNV8
55690,PACS1,Q6VY07
126308,MOB3A,Q96BX8
55884,WSB2,Q9NYS7
64963,MRPS11,P82912
374986,MIGA1,Q8NAN2
57168,ASPHD2,Q6ICH7
9314,KLF4,O43474
66008,TRAK2,O60296
9966,TNFSF15,O95150
5081,PAX7,P23759
2869,GRK5,P34947
25816,TNFAIP8,O95379
164781,DAW1,Q8N136
54431,DNAJC10,Q8IXB1
4697,NDUFA4,O00483
1054,CEBPG,P53567
7088,TLE1,Q04724
10933,MORF4L1,Q9UBU8
27291,R3HCC1L,Q7Z5L2
56848,SPHK2,Q9NRA0
3682,ITGAE,P38570
122786,FRMD6,Q96NE9
142689,ASB12,Q8WXK4
7251,TSG101,Q99816
255919,CNEP1R1,Q8N9A8
9649,RALGPS1,Q5JS13
57504,MTA3,Q9BTC8
1808,DPYSL2,Q16555
148423,C1orf52,Q8N6N3
10439,OLFM1,Q99784
85478,CCDC65,Q8IXS2
112950,MED8,Q96G25
7485,GET1,O00258
64924,SLC30A5,Q8TAD4
54460,MRPS21,P82921
116115,ZNF526,Q8TF50
7441,VPREB1,P12018
10644,IGF2BP2,Q9Y6M1
162681,LAS2,Q8IYD9
8872,CDC123,O75794
27148,STK36,Q9NRP7
54915,YTHDF1,Q9BYJ9
51699,VPS29,Q9UBQ0
23022,PALLD,Q8WX93
79102,RNF26,Q9BY78
3838,KPNA2,P52292
92154,MTSS2,Q765P7
57182,ANKRD50,Q9ULJ7
51726,DNAJB11,Q9UBS4
11041,B4GAT1,O43505
84524,ZC3H8,Q8N5P1
27037,TRMT2A,Q8IZ69
8161,COIL,P38432
54962,TIPIN,Q9BVW5
9817,KEAP1,Q14145
128,ADH5,P11766
56851,EMC7,Q9NPA0
284370,ZNF615,Q8N8J6
6742,SSBP1,Q04837
51386,EIF3L,Q9Y262
26275,HIBCH,Q6NVY1
9690,UBE3C,Q15386
8766,RAB11A,P62491
23199,GSE1,Q14687
27258,LSM3,P62310
57563,KLHL8,Q9P2G9
7386,UQCRFS1,P47985
64397,ZNF106,Q9H2Y7
734,OSGIN2,Q9Y236
2653,GCSH,P23434
5558,PRIM2,P49643
10920,COPS8,Q99627
80264,ZNF430,Q9H8G1
50650,ARHGEF3,Q9NR81
151126,ZNF385B,Q569K4
3950,LECT2,O14960
8193,DPF1,Q92782
10988,METAP2,P50579
223082,ZNRF2,Q8NHG8
127,ADH4,P08319
55510,DDX43,Q9NXZ2
338755,OR2AG2,A6NM03
5165,PDK3,Q15120
757,TMEM50B,P56557
3735,KARS1,Q15046
79691,QTRT2,Q9H974
1477,CSTF1,Q05048
27087,B3GAT1,Q9P2W7
91942,NDUFAF2,Q8N183
266747,RGL4,Q8IZJ4
79882,ZC3H14,Q6PJT7
8805,TRIM24,O15164
55831,EMC3,Q9P0I2
127495,LRRC39,Q96DD0
6130,RPL7A,P62424
9712,USP6NL,Q92738
79665,DHX40,Q8IX18
23242,COBL,O75128
9698,PUM1,Q14671
7852,CXCR4,P61073
3796,KIF2A,O00139
8833,GMPS,P49915
952,CD38,P28907
6342,SCP2,P22307
339175,METTL2A,Q96IZ6
51076,CUTC,Q9NTM9
222826,FAM217A,Q8IXS0
378108,TRIM74,Q86UV6
54165,DCUN1D1,Q96GG9
160419,C12orf50,Q8NA57
5683,PSMA2,P25787
55971,BAIAP2L1,Q9UHR4
23120,ATP10B,O94823
1154,CISH,Q9NSE2
54504,CPVL,Q9H3G5
55466,DNAJA4,Q8WW22
5429,POLH,Q9Y253
11235,PDCD10,Q9BUL8
4858,NOVA2,Q9UNW9
51327,AHSP,Q9NZD4
10574,CCT7,Q99832
50486,G0S2,P27469
9586,CREB5,Q02930
80173,IFT74,Q96LB3
1891,ECH1,Q13011
5435,POLR2F,P61218
9320,TRIP12,Q14669
6533,SLC6A6,P31641
91937,TIMD4,Q96H15
84217,ZMYND12,Q9H0C1
148418,SAMD13,Q5VXD3
11244,ZHX1,Q9UKY1
27247,NFU1,Q9UMS0
22937,SCAP,Q12770
6595,SMARCA2,P51531
51503,CWC15,Q9P013
54552,GNL3L,Q9NVN8
80321,CEP70,Q8NHQ1
169355,IDO2,Q6ZQW0
1350,COX7C,P15954
55033,FKBP14,Q9NWM8
55622,TTC27,Q6P3X3
79931,TNIP3,Q96KP6
51673,TPPP3,Q9BW30
54951,COMMD8,Q9NX08
64789,EXO5,Q9H790
4726,NDUFS6,O75380
51720,UIMC1,Q96RL1
59351,PBOV1,Q9GZY1
2107,ETF1,P62495
8706,B3GALNT1,O75752
284565,NBPF15,Q8N660
5682,PSMA1,P25786
64167,ERAP2,Q6P179
27332,ZNF638,Q14966
55024,BANK1,Q8NDB2
8975,USP13,Q92995
11153,FICD,Q9BVA6
23677,SH3BP4,Q9P0V3
83641,FAM107B,Q9H098
9627,SNCAIP,Q9Y6H5
6625,SNRNP70,P08621
84557,MAP1LC3A,Q9H492
64579,NDST4,Q9H3R1
51126,NAA20,P61599
11222,MRPL3,P09001
23408,SIRT5,Q9NXA8
51203,NUSAP1,Q9BXS6
583,BBS2,Q9BXC9
80895,ILKAP,Q9H0C8
4927,NUP88,Q99567
83596,BCL2L12,Q9HB09
2302,FOXJ1,Q92949
89122,TRIM4,Q9C037
6877,TAF5,Q15542
2578,GAGE6,Q13070
84897,TBRG1,Q3YBR2
1611,DAP,P51397
401236,STMND1,H3BQB6
81569,ACTL8,Q9H568
150165,XKR3,Q5GH77
7107,GPR137B,O60478
9699,RIMS2,Q9UQ26
11022,TDRKH,Q9Y2W6
57615,ZNF492,Q9P255
26092,TOR1AIP1,Q5JTV8
10326,SIRPB1,O00241
10326,SIRPB1,Q5TFQ8
1290,COL5A2,P05997
9324,HMGN3,Q15651
56259,CTNNBL1,Q8WYA6
55892,MYNN,Q9NPC7
3234,HOXD8,P13378
2731,GLDC,P23378
51660,MPC1,Q9Y5U8
387332,TBPL2,Q6SJ96
27257,LSM1,O15116
80258,EFHC2,Q5JST6
79188,TMEM43,Q9BTV4
81689,ISCA1,Q9BUE6
9153,SLC28A2,O43868
126299,ZNF428,Q96B54
4149,MAX,P61244
80207,OPA3,Q9H6K4
54948,MRPL16,Q9NX20
1859,DYRK1A,Q13627
2935,GSPT1,P15170
55272,IMP3,Q9NV31
9643,MORF4L2,Q15014
